seed,PL_dispersal,capacity,habitat_width,sigma,kernel_exponent,mean_distance,sd_distance,max_distance,excess_kurtosis
28240,FALSE,10,50,0.2,1,0.31514,0.136993,0.998409,0.541625
52243,FALSE,10,50,2,1,2.93477,1.3273,9.41673,0.398566
33897,FALSE,10,50,2,1,2.92012,1.3194,10.3303,0.568407
38015,FALSE,10,50,2,1,2.93816,1.3255,11.297,0.494876
9995,FALSE,10,50,2,1,2.92811,1.33391,9.94238,0.518232
12005,FALSE,10,50,2,1,2.94901,1.33337,9.92313,0.484951
56707,FALSE,10,50,2,1,2.92614,1.32455,10.1882,0.522811
33760,FALSE,10,50,2,1,2.94244,1.32553,9.7608,0.445494
15731,FALSE,10,50,2,1,2.92264,1.30777,9.5457,0.47488
55596,FALSE,10,50,2,1,2.92707,1.33163,9.47905,0.471269
51106,FALSE,10,50,2,1,2.94246,1.33285,9.95477,0.597195
27739,FALSE,10,50,0.2,1,0.315062,0.13736,0.972271,0.338653
61429,FALSE,10,50,2,1,2.92764,1.33242,10.7505,0.455344
62536,FALSE,10,50,2,1,2.9266,1.3303,10.8434,0.550213
42731,FALSE,10,50,2,1,2.91118,1.32467,9.81696,0.496813
5199,FALSE,10,50,2,1,2.94002,1.32532,9.84901,0.513583
5377,FALSE,10,50,2,1,2.91929,1.32455,9.48345,0.508099
28400,FALSE,10,50,2,1,2.9199,1.34254,9.69296,0.500393
15154,FALSE,10,50,2,1,2.93049,1.33121,9.08601,0.391127
6747,FALSE,10,50,2,1,2.93059,1.32065,9.72864,0.554422
10586,FALSE,10,50,2,1,2.92663,1.32631,9.92349,0.52083
3352,FALSE,10,50,2,1,2.9295,1.32941,9.45356,0.600168
29318,FALSE,10,50,0.2,1,0.315019,0.137619,0.935662,0.314239
35557,FALSE,10,50,2,1,2.94086,1.33205,9.56383,0.618998
32455,FALSE,10,50,2,1,2.92092,1.3313,11.0099,0.529263
37781,FALSE,10,50,2,1,2.92216,1.32709,9.42197,0.543424
19729,FALSE,10,50,2,1,2.94697,1.33104,9.67294,0.481256
57844,FALSE,10,50,2,1,2.92255,1.33297,9.47336,0.581391
14199,FALSE,10,50,2,1,2.92814,1.32262,9.57441,0.54801
3775,FALSE,10,50,2,1,2.91556,1.33189,10.0863,0.484398
52056,FALSE,10,50,2,1,2.91979,1.3303,10.1803,0.473722
17680,FALSE,10,50,2,1,2.92682,1.33598,10.5353,0.564442
34859,FALSE,10,50,2,1,2.92028,1.31942,9.87791,0.477527
24532,FALSE,10,50,0.2,1,0.315336,0.137861,1.0144,0.394353
55943,FALSE,10,50,2,1,2.93368,1.31689,9.2234,0.35736
16468,FALSE,10,50,2,1,2.91158,1.32422,9.78924,0.591451
5310,FALSE,10,50,2,1,2.91857,1.33034,10.8797,0.612271
3956,FALSE,10,50,2,1,2.92419,1.32873,9.94612,0.590924
34340,FALSE,10,50,2,1,2.9214,1.32413,10.1337,0.497394
936,FALSE,10,50,2,1,2.92195,1.32428,8.86178,0.446473
64498,FALSE,10,50,2,1,2.92341,1.3264,10.7794,0.629961
26947,FALSE,10,50,2,1,2.94312,1.33131,9.90651,0.519975
28298,FALSE,10,50,2,1,2.93749,1.33168,9.45016,0.607512
6168,FALSE,10,50,2,1,2.91538,1.33081,10.6819,0.539875
56875,FALSE,10,50,0.2,1,0.314817,0.136075,1.0334700000000001,0.367623
16825,FALSE,10,50,2,1,2.93328,1.32796,9.59519,0.377172
4935,FALSE,10,50,2,1,2.93546,1.32848,9.78634,0.536932
18705,FALSE,10,50,2,1,2.93207,1.33612,9.31752,0.604544
59556,FALSE,10,50,2,1,2.9542,1.33794,10.0911,0.597096
65275,FALSE,10,50,2,1,2.91954,1.32799,9.97555,0.502279
39384,FALSE,10,50,2,1,2.94547,1.33159,9.45077,0.513538
52045,FALSE,10,50,2,1,2.92771,1.32526,9.83901,0.565769
13511,FALSE,10,50,2,1,2.92557,1.31946,10.1719,0.471597
4890,FALSE,10,50,2,1,2.91619,1.3344800000000001,9.94306,0.554086
60443,FALSE,10,50,2,1,2.92273,1.33298,10.0116,0.551498
18333,FALSE,10,50,0.2,1,0.315182,0.13739,1.03271,0.458003
39325,FALSE,10,50,2,1,2.92335,1.33558,9.94637,0.549975
10619,FALSE,10,50,2,1,2.9433,1.3394,10.2749,0.481663
54093,FALSE,10,50,2,1,2.94197,1.32578,9.24424,0.444821
45386,FALSE,10,50,2,1,2.94139,1.32647,9.55438,0.525771
27878,FALSE,10,50,2,1,2.934,1.33336,10.1725,0.500224
36930,FALSE,10,50,2,1,2.9388,1.33182,10.6695,0.605918
6137,FALSE,10,50,2,1,2.95047,1.33862,9.59376,0.423942
31366,FALSE,10,50,2,1,2.94442,1.33452,10.2519,0.517452
51340,FALSE,10,50,2,1,2.92965,1.34051,11.361,0.621689
20177,FALSE,10,50,2,1,2.92788,1.33046,9.80656,0.612764
43609,FALSE,10,50,0.2,1,0.316616,0.136374,1.00913,0.366415
52578,FALSE,10,50,2,1,2.9175,1.32039,10.4171,0.563516
42839,FALSE,10,50,2,1,2.94703,1.32607,9.64287,0.493884
18932,FALSE,10,50,2,1,2.9434,1.32603,10.0329,0.513143
35277,FALSE,10,50,2,1,2.91544,1.32106,9.77973,0.519836
51189,FALSE,10,50,2,1,2.92354,1.33143,9.98646,0.578304
19677,FALSE,10,50,2,1,2.91803,1.32257,10.0107,0.458629
14139,FALSE,10,50,2,1,2.94113,1.34047,10.2175,0.491144
41753,FALSE,10,50,2,1,2.93549,1.3317,10.0848,0.600827
60009,FALSE,10,50,2,1,2.9336700000000002,1.32418,9.05624,0.454503
14621,FALSE,10,50,2,1,2.93306,1.33385,10.2876,0.60934
12588,FALSE,10,50,0.2,1,0.315248,0.136273,1.06812,0.501856
14678,FALSE,10,50,2,1,2.94728,1.33352,9.30979,0.326314
42629,FALSE,10,50,2,1,2.93629,1.32801,9.8496,0.549916
34659,FALSE,10,50,2,1,2.94201,1.32393,9.36988,0.55305
5703,FALSE,10,50,2,1,2.93687,1.32661,10.0771,0.524934
6169,FALSE,10,50,2,1,2.92333,1.32359,9.6499,0.503219
45303,FALSE,10,50,2,1,2.93047,1.33079,9.38694,0.435628
47682,FALSE,10,50,2,1,2.94562,1.33355,9.71987,0.544663
23191,FALSE,10,50,2,1,2.94772,1.33704,10.3037,0.560078
38220,FALSE,10,50,2,1,2.93107,1.33177,11.0635,0.565207
33114,FALSE,10,50,2,1,2.9322,1.32561,9.62373,0.474944
46346,FALSE,10,50,0.2,1,0.31464,0.137567,1.02074,0.402207
50774,FALSE,10,50,2,1,2.93007,1.32927,9.96083,0.625838
55252,FALSE,10,50,2,1,2.94403,1.34508,10.4666,0.655296
37651,FALSE,10,50,2,1,2.93327,1.32908,10.6051,0.578684
45794,FALSE,10,50,2,1,2.93587,1.33106,9.96959,0.449716
58011,FALSE,10,50,2,1,2.93047,1.32746,10.6507,0.518627
25504,FALSE,10,50,2,1,2.94103,1.32651,9.60607,0.398564
52388,FALSE,10,50,2,1,2.92924,1.33144,9.23232,0.525766
34189,FALSE,10,50,2,1,2.91375,1.3203,9.94778,0.547799
5409,FALSE,10,50,2,1,2.93049,1.32264,9.21388,0.421156
569,FALSE,10,50,2,1,2.92767,1.32329,10.9087,0.479765
50582,FALSE,10,50,0.2,1,0.315741,0.136074,0.950877,0.339993
61150,FALSE,10,50,2,1,2.92929,1.32878,9.72892,0.434693
29298,FALSE,10,50,2,1,2.92527,1.32523,9.5571,0.45757
49989,FALSE,10,50,2,1,2.93325,1.33656,10.5725,0.469341
27876,FALSE,10,50,2,1,2.94158,1.34469,10.6025,0.690824
53626,FALSE,10,50,2,1,2.93085,1.33456,10.1592,0.507097
34981,FALSE,10,50,2,1,2.93532,1.33348,10.4303,0.446609
10584,FALSE,10,50,2,1,2.93019,1.3283,10.1819,0.54644
51746,FALSE,10,50,2,1,2.91354,1.32405,9.5547,0.614241
18819,FALSE,10,50,2,1,2.93257,1.33736,9.63328,0.423487
49851,FALSE,10,50,2,1,2.922,1.32565,9.61072,0.472501
56810,FALSE,10,50,0.2,1,0.31654,0.136923,1.13685,0.426016
23155,FALSE,10,50,0.2,1,0.315008,0.137474,1.02927,0.415662
53824,TRUE,10,50,0.2,1,0.601437,1.56914,46.3689,194.4
16319,TRUE,10,50,0.2,1,0.602848,1.56601,45.5429,189.648
30724,TRUE,10,50,0.2,1,0.61097,1.59026,44.3792,185.926
2591,TRUE,10,50,0.2,1,0.573081,1.34034,42.2287,196.459
37275,TRUE,10,50,0.2,1,0.603508,1.54647,36.8053,163.443
14682,TRUE,10,50,0.2,1,0.595687,1.48538,42.6597,202.661
4031,TRUE,10,50,0.2,1,0.592412,1.46803,45.5957,191.118
30310,TRUE,10,50,0.2,1,0.600802,1.56187,46.3961,209.495
13320,TRUE,10,50,0.2,1,0.588203,1.4347,40.1985,176.093
32797,TRUE,10,50,0.2,1,0.607759,1.58175,52.3596,226.61
2230,FALSE,10,50,0.2,1,0.318218,0.137111,1.16805,0.423421
57264,TRUE,10,50,0.2,1,0.599721,1.50277,46.5616,192.434
13594,TRUE,10,50,0.2,1,0.604956,1.51944,53.1277,234.146
57768,TRUE,10,50,0.2,1,0.584827,1.41499,41.1241,201.636
54629,TRUE,10,50,0.2,1,0.593179,1.5206,42.475,196.997
8749,TRUE,10,50,0.2,1,0.588473,1.44376,40.84,152.435
59902,TRUE,10,50,0.2,1,0.607287,1.57953,53.4546,238.245
48613,TRUE,10,50,0.2,1,0.582756,1.49263,51.9036,239.643
17193,TRUE,10,50,0.2,1,0.611259,1.50719,39.6883,138.642
46468,TRUE,10,50,0.2,1,0.58371,1.45024,42.1941,206.321
22969,TRUE,10,50,0.2,1,0.603685,1.50529,39.9944,159.4
50358,FALSE,10,50,0.2,1,0.315951,0.136244,1.07825,0.449857
42005,TRUE,10,50,0.2,1,0.603288,1.51564,43.2204,185.286
62297,TRUE,10,50,0.2,1,0.600885,1.63731,50.145,237.949
10249,TRUE,10,50,0.2,1,0.610185,1.61024,44.4559,199.415
39816,TRUE,10,50,0.2,1,0.601248,1.55465,41.8656,193.589
26823,TRUE,10,50,0.2,1,0.576565,1.37291,36.5951,185.845
24597,TRUE,10,50,0.2,1,0.587114,1.47845,36.8454,173.975
13614,TRUE,10,50,0.2,1,0.618217,1.58704,49.7259,197.928
50113,TRUE,10,50,0.2,1,0.594083,1.54928,46.8938,204.446
46232,TRUE,10,50,0.2,1,0.592423,1.52552,42.7395,199.774
34940,TRUE,10,50,0.2,1,0.603512,1.53505,42.964,182.525
50559,FALSE,10,50,0.2,1,0.315549,0.136754,1.05084,0.411505
21449,TRUE,10,50,0.2,1,0.609174,1.58038,48.8165,176.609
46732,TRUE,10,50,0.2,1,0.585054,1.39787,40.4745,184.518
44990,TRUE,10,50,0.2,1,0.609892,1.54634,48.2643,196.955
53718,TRUE,10,50,0.2,1,0.619492,1.61435,42.8247,146.921
14500,TRUE,10,50,0.2,1,0.584369,1.41402,36.168,150.833
12322,TRUE,10,50,0.2,1,0.604364,1.55953,43.4703,172.791
21112,TRUE,10,50,0.2,1,0.584133,1.47333,51.9694,282.221
31310,TRUE,10,50,0.2,1,0.606295,1.55549,49.8415,190.54
30552,TRUE,10,50,0.2,1,0.609465,1.55012,42.7389,174.86
39666,TRUE,10,50,0.2,1,0.590122,1.36094,33.9498,128.236
13087,FALSE,10,50,0.2,1,0.314701,0.135617,0.980508,0.321031
56406,TRUE,10,50,0.2,1,0.585665,1.43733,55.7812,228.7
27694,TRUE,10,50,0.2,1,0.582393,1.35786,41.7176,172.805
60591,TRUE,10,50,0.2,1,0.597055,1.52815,47.9473,206.766
9642,TRUE,10,50,0.2,1,0.578958,1.34035,40.8928,179.524
63687,TRUE,10,50,0.2,1,0.616836,1.58333,37.7164,140.049
52466,TRUE,10,50,0.2,1,0.585199,1.4642,43.3364,210.332
19977,TRUE,10,50,0.2,1,0.600947,1.53523,53.8883,229.164
19302,TRUE,10,50,0.2,1,0.602842,1.58704,46.401,201.957
61486,TRUE,10,50,0.2,1,0.583351,1.38103,41.5908,165.706
28164,TRUE,10,50,0.2,1,0.605,1.58153,48.216,205.523
59247,FALSE,10,50,0.2,1,0.31616,0.138422,1.09679,0.448329
52517,TRUE,10,50,0.2,1,0.600535,1.52992,43.3034,185.783
51654,TRUE,10,50,0.2,1,0.59066,1.4515,45.3334,211.519
49584,TRUE,10,50,0.2,1,0.601595,1.577,51.6432,208.277
2886,TRUE,10,50,0.2,1,0.589359,1.49383,48.5138,225.761
21314,TRUE,10,50,0.2,1,0.607089,1.54246,39.6283,162.885
36522,TRUE,10,50,0.2,1,0.60642,1.55142,40.7778,175.387
36949,TRUE,10,50,0.2,1,0.607402,1.52561,41.3388,169.396
24848,TRUE,10,50,0.2,1,0.600524,1.56793,50.0158,205.139
550,TRUE,10,50,0.2,1,0.596885,1.5022200000000001,46.3076,188.303
51844,TRUE,10,50,0.2,1,0.605683,1.57971,48.47,228.81
28860,FALSE,10,50,0.2,1,0.315686,0.13702,1.0461,0.453414
31037,TRUE,10,50,0.2,1,0.586459,1.46897,44.0664,193.967
62518,TRUE,10,50,0.2,1,0.592783,1.48841,46.9882,206.258
22550,TRUE,10,50,0.2,1,0.607952,1.57964,57.734,246.408
34603,TRUE,10,50,0.2,1,0.608634,1.52653,47.8485,189.347
33563,TRUE,10,50,0.2,1,0.606567,1.53261,50.7636,195.446
45632,TRUE,10,50,0.2,1,0.602891,1.55757,43.9947,203.394
55387,TRUE,10,50,0.2,1,0.610455,1.579,49.0055,203.29
64189,TRUE,10,50,0.2,1,0.612014,1.5807,50.134,200.466
36607,TRUE,10,50,0.2,1,0.582558,1.33717,35.4332,152.661
61794,TRUE,10,50,0.2,1,0.606652,1.57573,45.834,176.547
47592,FALSE,10,50,0.2,1,0.314204,0.136134,1.06228,0.413763
54439,TRUE,10,50,0.2,1,0.585041,1.39428,43.0103,183.003
2459,TRUE,10,50,0.2,1,0.609162,1.59817,43.5066,194.694
59406,TRUE,10,50,0.2,1,0.602519,1.49364,40.9405,153.124
1225,TRUE,10,50,0.2,1,0.605729,1.50238,41.5867,161.254
63959,TRUE,10,50,0.2,1,0.607866,1.52216,38.2766,163.237
14132,TRUE,10,50,0.2,1,0.585175,1.45994,42.3258,209.701
63810,TRUE,10,50,0.2,1,0.597718,1.50342,41.5068,169.328
55250,TRUE,10,50,0.2,1,0.589398,1.44727,44.818,203.85
34512,TRUE,10,50,0.2,1,0.594441,1.5166,48.4652,209.687
23262,TRUE,10,50,0.2,1,0.600349,1.51211,46.0853,194.962
44842,FALSE,10,50,0.2,1,0.315187,0.136748,1.06117,0.389834
48045,TRUE,10,50,0.2,1,0.586908,1.45692,42.945,193.685
826,TRUE,10,50,0.2,1,0.610933,1.50369,42.0219,147.451
1799,TRUE,10,50,0.2,1,0.618128,1.58672,46.0569,168.5
46372,TRUE,10,50,0.2,1,0.581851,1.40756,35.8076,164.231
23006,TRUE,10,50,0.2,1,0.59515,1.5626,62.3404,267.418
13667,TRUE,10,50,0.2,1,0.582775,1.44869,44.4637,229.46
48260,TRUE,10,50,0.2,1,0.595466,1.51882,51.4127,207.183
53831,TRUE,10,50,0.2,1,0.609862,1.5866,44.1714,173.23
45821,TRUE,10,50,0.2,1,0.618743,1.7641,55.5763,271.337
58781,TRUE,10,50,0.2,1,0.602035,1.50366,36.0306,157.377
48352,FALSE,10,50,0.2,1,0.316438,0.136605,1.03461,0.438515
11167,TRUE,10,50,0.2,1,0.594656,1.50618,40.4508,165.982
27350,TRUE,10,50,0.2,1,0.607854,1.57872,39.4158,173.685
28716,TRUE,10,50,0.2,1,0.589496,1.50293,42.229,204.065
34980,TRUE,10,50,0.2,1,0.591915,1.49523,42.3453,179.312
35590,TRUE,10,50,0.2,1,0.596798,1.51627,57.5371,244.51
24443,TRUE,10,50,0.2,1,0.610861,1.56316,40.6606,172.519
52243,TRUE,10,50,0.2,1,0.598641,1.443,42.4073,169.147
33257,TRUE,10,50,0.2,1,0.597455,1.47802,39.6477,165.07
6830,TRUE,10,50,0.2,1,0.60705,1.61092,51.8957,211.27
27158,TRUE,10,50,0.2,1,0.592267,1.46811,43.1408,151.693
31537,FALSE,10,50,0.2,1,0.317088,0.137921,1.04153,0.409812
11635,FALSE,10,50,0.2,1,0.31769,0.137987,0.980295,0.365167
38443,TRUE,10,50,2,1,3.49168,3.87864,49.648,26.4349
5382,TRUE,10,50,2,1,3.43823,3.6988,45.2638,24.7987
3250,TRUE,10,50,2,1,3.47414,3.87091,57.6761,28.053
34943,TRUE,10,50,2,1,3.49352,3.81798,52.4664,27.9331
22506,TRUE,10,50,2,1,3.44877,3.72423,51.4747,27.2861
21504,TRUE,10,50,2,1,3.46606,3.74829,49.1945,25.9289
9028,TRUE,10,50,2,1,3.49911,3.85095,50.4144,26.6011
19178,TRUE,10,50,2,1,3.46658,3.79347,54.916,28.022
50913,TRUE,10,50,2,1,3.4639,3.80604,49.3576,26.6565
6154,TRUE,10,50,2,1,3.49034,3.7704,50.8174,25.1293
5114,FALSE,10,50,0.2,1,0.315842,0.136986,0.927348,0.320073
12584,TRUE,10,50,2,1,3.46397,3.80379,50.1595,26.0235
27905,TRUE,10,50,2,1,3.4409,3.75182,57.0217,31.1292
39539,TRUE,10,50,2,1,3.46802,3.81119,55.296,27.9623
13445,TRUE,10,50,2,1,3.49557,3.86872,53.6574,26.6559
21134,TRUE,10,50,2,1,3.48084,3.82912,52.5938,25.7176
42293,TRUE,10,50,2,1,3.47887,3.83839,56.4384,28.8914
62185,TRUE,10,50,2,1,3.46806,3.84463,50.707,28.3301
48330,TRUE,10,50,2,1,3.49345,3.85692,49.006100000000004,25.8775
745,TRUE,10,50,2,1,3.47387,3.85853,52.6655,27.9036
59776,TRUE,10,50,2,1,3.45205,3.74654,54.8723,28.2752
62681,FALSE,10,50,0.2,1,0.316919,0.13674,0.966728,0.339275
9138,TRUE,10,50,2,1,3.5278,3.86367,53.9538,26.4227
28837,TRUE,10,50,2,1,3.46246,3.78275,46.5568,24.1844
10804,TRUE,10,50,2,1,3.48257,3.82294,50.5158,27.9701
50762,TRUE,10,50,2,1,3.45945,3.75343,54.4878,26.8548
23621,TRUE,10,50,2,1,3.46555,3.76414,46.6565,27.3662
46788,TRUE,10,50,2,1,3.49104,3.88582,50.8561,29.0239
18450,TRUE,10,50,2,1,3.45419,3.68029,47.8746,23.7658
32765,TRUE,10,50,2,1,3.47186,3.7655,56.9738,25.9505
7659,TRUE,10,50,2,1,3.50072,3.85402,49.0605,26.4958
27845,TRUE,10,50,2,1,3.47887,3.82495,50.8576,24.8141
56552,FALSE,10,50,0.2,1,0.316057,0.13777,1.03545,0.36027
8506,TRUE,10,50,2,1,3.4986,3.88125,49.2885,24.488
815,TRUE,10,50,2,1,3.43246,3.65457,49.9774,25.314
17215,TRUE,10,50,2,1,3.4635,3.75232,48.0974,24.3553
35399,TRUE,10,50,2,1,3.47455,3.75757,51.2234,26.8098
23185,TRUE,10,50,2,1,3.50157,3.94113,53.0252,26.7523
1727,TRUE,10,50,2,1,3.49072,3.81643,51.7468,26.904
50541,TRUE,10,50,2,1,3.49656,3.84443,50.0222,26.4642
50226,TRUE,10,50,2,1,3.46824,3.772,46.2422,24.5756
6659,TRUE,10,50,2,1,3.46934,3.73229,58.0657,24.6587
38172,TRUE,10,50,2,1,3.486,3.81668,50.9849,27.2599
65441,FALSE,10,50,0.2,1,0.315944,0.137314,1.09279,0.461908
350,TRUE,10,50,2,1,3.481,3.82269,56.1906,25.9909
59211,TRUE,10,50,2,1,3.46872,3.81005,54.9264,26.8855
42688,TRUE,10,50,2,1,3.52044,3.89592,53.7926,27.5105
31182,TRUE,10,50,2,1,3.5198,3.83928,50.7082,24.8873
16117,TRUE,10,50,2,1,3.46628,3.7286,51.3563,26.274
26885,TRUE,10,50,2,1,3.45351,3.75403,53.7237,26.2432
1115,TRUE,10,50,2,1,3.47514,3.73053,47.6483,23.0752
44220,TRUE,10,50,2,1,3.5144,3.87713,46.3479,24.9753
2744,TRUE,10,50,2,1,3.4801,3.82978,47.8163,24.7146
60512,TRUE,10,50,2,1,3.52754,3.91284,54.2275,27.6082
51807,FALSE,10,50,0.2,1,0.314565,0.136697,1.04687,0.435067
38326,TRUE,10,50,2,1,3.48878,3.7853,53.0436,24.8914
16049,TRUE,10,50,2,1,3.45698,3.67316,47.1831,24.3583
7613,TRUE,10,50,2,1,3.46092,3.73149,46.1635,23.2607
27097,TRUE,10,50,2,1,3.4471,3.73667,52.6007,26.6034
40067,TRUE,10,50,2,1,3.45773,3.73102,49.1527,23.8141
26810,TRUE,10,50,2,1,3.44931,3.78249,49.7926,28.2064
12692,TRUE,10,50,2,1,3.45088,3.80218,51.7528,28.8347
18194,TRUE,10,50,2,1,3.48597,3.88928,48.1711,26.2427
2358,TRUE,10,50,2,1,3.48039,3.80078,49.3716,28.4075
46564,TRUE,10,50,2,1,3.45946,3.77651,48.9424,27.0092
4540,FALSE,10,50,0.2,1,0.315795,0.136353,0.935668,0.254169
47536,TRUE,10,50,2,1,3.4756,3.81306,47.1057,25.8723
9511,TRUE,10,50,2,1,3.49416,3.77029,52.6215,25.1538
65040,TRUE,10,50,2,1,3.49608,3.76308,46.9028,24.6789
52891,TRUE,10,50,2,1,3.51617,3.89284,47.679,24.9394
15629,TRUE,10,50,2,1,3.45584,3.7125,49.9844,25.4314
55991,TRUE,10,50,2,1,3.48346,3.77753,59.4765,24.4579
39261,TRUE,10,50,2,1,3.51914,3.8371,45.6048,24.3084
15612,TRUE,10,50,2,1,3.4608,3.73352,50.0924,24.2181
25554,TRUE,10,50,2,1,3.41794,3.65378,51.3035,24.6097
28362,TRUE,10,50,2,1,3.45721,3.68992,49.8583,24.1243
5149,FALSE,10,50,0.2,1,0.31737,0.137273,1.06559,0.450549
54253,TRUE,10,50,2,1,3.44843,3.69627,55.2467,25.7099
15739,TRUE,10,50,2,1,3.46644,3.84713,55.0255,28.2182
